Total Creature Amount,Total Female Count,Total Male Count,Starting Spawn Size,Time Taken
88,26,58,80,0.23666666666667

Species,Total Species Amount,Predator Count,Prey Count,Female Count,Male Count,Higest Generation Reached,Gen 0,
Desert,8,6,2,2,6,0
Higest Generational Scores
Prey, , , , , , ,3.62498829479342,
Predators, , , , , , ,3.40336384174893,

Ice,4, , , , ,0
Higest Generational Scores, , , , , , ,3.64010024354582,

Fire,60,34,26,21,39,0
Higest Generational Scores
Prey, , , , , , ,3.98245671450025,
Predators, , , , , , ,3.65540588362938,

Forest,12,3,9,2,10,0
Higest Generational Scores
Prey, , , , , , ,3.93406122272303,
Predators, , , , , , ,2.94292601655758,

Stone,4,1,3,1,3,0
Higest Generational Scores
Prey, , , , , , ,3.47790543197747,
Predators, , , , , , ,3.39045815509379,

